Rank,Ime,Klub,Sport,Vrednost_pogodbe
109,Shawn Kemp,Cleveland Cavaliers,Basketball,107000000
110,C.J. McCollum,Portland Trail Blazers,Basketball,106663450
112,José Reyes,Miami Marlins,Baseball,106000000
113,Juwan Howard,Washington Bullets,Basketball,105375000
114,Homer Bailey,Cincinnati Reds,Baseball,105000000
114,Ryan Braun,Milwaukee Brewers,Baseball,105000000
114,Alonzo Mourning,Miami Heat,Basketball,105000000
118,Sidney Crosby,Pittsburgh Penguins,Hockey,104400000
119,Wayne Rooney,Manchester United,Association football,104000000
120,Cam Newton,Carolina Panthers,American football,103800000
121,Matt Ryan,Atlanta Falcons,American football,103750000
122,Jason Kidd,New Jersey Nets,Basketball,103572000
123,Drew Bledsoe,New England Patriots,American football,103000000
124,Fletcher Cox,Philadelphia Eagles,American football,102600000
125,Michael Finley,Dallas Mavericks,Basketball,102265625
126,Ben Roethlisberger,Pittsburgh Steelers,American football,102000000
126,Cristiano Ronaldo,Real Madrid C.F.,Association football,102000000
